epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,7848.47,1.36485,2.76359,1.11369,1.30727,0.79222,0.64459,0.72575,0.42441,0.77747,0.6181,0.68117,0.33725,1.20556,2.77795,1.26765,1.34504,0.0017162,0.0017162,0.0017162
45,8324.63,1.37464,2.71615,1.11581,1.29721,0.74314,0.70894,0.73337,0.44612,0.76256,0.72848,0.74062,0.38712,1.11233,2.60323,1.37838,1.29775,0.0017096,0.0017096,0.0017096
46,8691.2,1.35405,2.73428,1.14733,1.29171,0.78307,0.74614,0.81684,0.52149,0.78818,0.73731,0.7981,0.43654,1.09768,2.49682,1.06962,1.24418,0.001703,0.001703,0.001703
47,8896.77,1.35406,2.70408,1.05342,1.25763,0.82171,0.70199,0.79457,0.50872,0.81654,0.69757,0.79019,0.4403,1.07909,2.32328,1.1678,1.20884,0.0016964,0.0016964,0.0016964
48,9013.03,1.33336,2.66074,1.15285,1.27826,0.79798,0.73731,0.81108,0.52875,0.77696,0.72406,0.76911,0.43996,1.01345,2.52284,1.07263,1.17173,0.0016898,0.0016898,0.0016898
49,9143.69,1.33703,2.63889,1.11739,1.2981,0.81311,0.75055,0.83808,0.5464,0.79275,0.75152,0.82324,0.48869,1.01593,2.16936,1.00517,1.17697,0.0016832,0.0016832,0.0016832
50,9270.28,1.34585,2.62363,1.1829,1.3354,0.78408,0.75055,0.82166,0.51763,0.80927,0.72121,0.80767,0.48641,1.07844,2.33845,1.1199,1.22027,0.0016766,0.0016766,0.0016766
51,9398.62,1.32783,2.664,1.1169,1.28221,0.80425,0.74393,0.8132,0.50603,0.80172,0.74083,0.78857,0.47005,1.05661,2.18975,1.02261,1.20687,0.00167,0.00167,0.00167
52,9529.27,1.36133,2.67326,1.13889,1.30669,0.77888,0.74172,0.79734,0.50736,0.77919,0.74172,0.78295,0.45588,1.06096,2.45711,1.22158,1.22545,0.0016634,0.0016634,0.0016634
53,9656.44,1.36256,2.80835,1.27688,1.30604,0.76577,0.72892,0.81674,0.52158,0.78984,0.69757,0.78805,0.46686,1.1283,2.35665,1.11719,1.23101,0.0016568,0.0016568,0.0016568
54,9783.45,1.31024,2.66677,1.16439,1.29314,0.80856,0.71523,0.80341,0.51356,0.81481,0.71875,0.79866,0.4598,1.08181,2.19633,1.0114,1.22531,0.0016502,0.0016502,0.0016502
55,9907.26,1.32588,2.65931,1.12129,1.29126,0.77781,0.66225,0.77402,0.48018,0.7716,0.64136,0.73486,0.40184,1.16859,2.40899,1.15246,1.30152,0.0016436,0.0016436,0.0016436
56,10032.3,1.31071,2.68813,1.11997,1.29665,0.68236,0.75055,0.7844,0.49261,0.68695,0.76053,0.77794,0.43015,1.12322,2.45869,1.25865,1.26748,0.001637,0.001637,0.001637
57,10156.3,1.30026,2.59134,1.09124,1.28477,0.80543,0.71744,0.79413,0.52289,0.81009,0.71744,0.78169,0.43065,1.0752,2.43238,1.08423,1.24611,0.0016304,0.0016304,0.0016304
58,10285.3,1.30241,2.61372,1.14996,1.3079,0.81638,0.71649,0.80814,0.52394,0.82142,0.72091,0.8044,0.46462,1.08766,2.4091,1.02714,1.21497,0.0016238,0.0016238,0.0016238
59,10407.5,1.30425,2.62692,1.09583,1.29183,0.77817,0.75276,0.8227,0.54046,0.78924,0.766,0.82404,0.48076,1.0256,2.1378,0.95788,1.22844,0.0016172,0.0016172,0.0016172
60,10515.1,1.30454,2.59485,1.05957,1.27887,0.77077,0.76453,0.82208,0.53236,0.75373,0.73951,0.77754,0.41874,1.04364,2.53704,1.05126,1.23991,0.0016106,0.0016106,0.0016106
61,10620.8,1.29488,2.60095,1.07649,1.31106,0.76805,0.77263,0.82017,0.51258,0.76612,0.75055,0.78675,0.44837,1.17052,2.33508,0.98415,1.27002,0.001604,0.001604,0.001604
62,10729.8,1.27884,2.57755,1.03931,1.24161,0.79726,0.74172,0.80061,0.51899,0.79898,0.75455,0.79638,0.45724,1.08437,2.25547,0.97782,1.24645,0.0015974,0.0015974,0.0015974
63,10836.7,1.25224,2.50458,0.99889,1.23212,0.81211,0.73731,0.80746,0.5458,0.79565,0.71082,0.78348,0.45498,1.03395,2.32805,0.9861,1.22005,0.0015908,0.0015908,0.0015908
64,10943.3,1.28448,2.53594,1.05464,1.27227,0.80109,0.76458,0.83703,0.57034,0.81593,0.766,0.83716,0.52214,1.05293,2.32826,1.01372,1.24998,0.0015842,0.0015842,0.0015842
65,11046,1.24433,2.4191,1.03775,1.25532,0.84101,0.72396,0.8321,0.54761,0.82711,0.71813,0.81184,0.47892,1.10661,2.41713,0.99655,1.26386,0.0015776,0.0015776,0.0015776
66,11152.6,1.30561,2.63899,1.07629,1.279,0.77262,0.7426,0.81961,0.55837,0.83386,0.69757,0.8079,0.46394,0.99567,2.37242,1.04709,1.17228,0.001571,0.001571,0.001571
67,11262,1.32311,2.60858,1.0447,1.27636,0.79023,0.7351,0.82648,0.55206,0.78524,0.71837,0.79425,0.47876,0.97421,2.25211,1.01202,1.17584,0.0015644,0.0015644,0.0015644
68,11367.3,1.29728,2.52887,1.08763,1.26495,0.80897,0.72406,0.82558,0.56095,0.82611,0.69215,0.79986,0.49771,1.02988,2.2275,1.01598,1.20474,0.0015578,0.0015578,0.0015578
69,11472.9,1.314,2.65891,1.09924,1.30817,0.77863,0.75318,0.82923,0.53432,0.77536,0.73909,0.80159,0.4814,1.1131,2.42072,1.05433,1.20904,0.0015512,0.0015512,0.0015512
70,11580.7,1.28974,2.51887,1.07613,1.24191,0.77996,0.71082,0.80857,0.5254,0.77269,0.70419,0.79091,0.4687,1.11906,2.35925,1.23204,1.23528,0.0015446,0.0015446,0.0015446
71,11684.7,1.2723,2.56707,1.09562,1.27773,0.78408,0.77756,0.83337,0.53572,0.7735,0.76895,0.81011,0.48843,1.11518,2.2441,1.01233,1.21727,0.001538,0.001538,0.001538
72,11788.2,1.29586,2.53393,1.07946,1.28478,0.81522,0.65342,0.73889,0.4651,0.81592,0.65563,0.73536,0.41456,1.18518,2.27842,1.08958,1.30595,0.0015314,0.0015314,0.0015314
73,11893.5,1.22425,2.36395,0.99332,1.2263,0.77973,0.7351,0.79739,0.51982,0.77271,0.72848,0.78898,0.45864,1.05121,2.1588,1.04017,1.24938,0.0015248,0.0015248,0.0015248
74,11999.1,1.26628,2.44672,1.0222,1.25553,0.78973,0.73289,0.82149,0.52905,0.77603,0.72664,0.7986,0.49382,1.12161,2.182,0.97506,1.27078,0.0015182,0.0015182,0.0015182
75,12105.8,1.28663,2.52564,1.03411,1.27123,0.76935,0.71744,0.79261,0.5315,0.75195,0.73731,0.78648,0.47732,0.95881,2.0522,0.96223,1.17451,0.0015116,0.0015116,0.0015116
76,12212,1.29677,2.52594,1.02877,1.27912,0.81436,0.72628,0.8159,0.55223,0.80745,0.72848,0.79848,0.49558,0.9798,2.08201,0.98624,1.18435,0.001505,0.001505,0.001505
77,12316.4,1.24926,2.44203,1.03333,1.24987,0.82568,0.70199,0.80618,0.53602,0.8368,0.7131,0.81179,0.48722,1.04543,2.25739,1.10237,1.22021,0.0014984,0.0014984,0.0014984
78,12422.5,1.25169,2.48562,1.03298,1.25726,0.75915,0.71666,0.77967,0.52054,0.7518,0.69541,0.77332,0.44756,1.05004,2.31715,1.07796,1.22173,0.0014918,0.0014918,0.0014918
79,12527.8,1.28963,2.50585,1.07985,1.29666,0.7888,0.74393,0.81848,0.53258,0.78224,0.74172,0.80946,0.48218,1.02669,2.14615,1.00845,1.20486,0.0014852,0.0014852,0.0014852
80,12631.1,1.28754,2.55331,1.108,1.29192,0.80746,0.7351,0.81242,0.52362,0.7996,0.72225,0.80258,0.47037,1.00542,2.17563,0.97477,1.19905,0.0014786,0.0014786,0.0014786
81,12740.5,1.3371,2.55959,1.0573,1.28387,0.79169,0.72152,0.80396,0.52081,0.79038,0.72415,0.79959,0.47574,1.00423,2.05902,0.98529,1.16574,0.001472,0.001472,0.001472
82,12846.2,1.26064,2.56661,1.03481,1.27937,0.83155,0.74172,0.84053,0.57184,0.82217,0.73951,0.823,0.49856,0.96917,2.19914,0.92978,1.15936,0.0014654,0.0014654,0.0014654
