epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
72,364.267,0.30776,0.44016,0.12601,0.82423,0.7638,0.81366,0.59836,0.30067,0.44111,0.21751,0.00171884,0.00171884,0.00171884
73,369.546,0.33821,0.4418,0.15906,0.79374,0.78155,0.82792,0.61003,0.30983,0.44086,0.22624,0.00171488,0.00171488,0.00171488
74,375.029,0.33544,0.44694,0.14465,0.84715,0.7064,0.81189,0.58645,0.32819,0.51713,0.2386,0.00171092,0.00171092,0.00171092
75,379.812,0.31879,0.40812,0.13477,0.809,0.79029,0.83985,0.60537,0.3053,0.45867,0.21339,0.00170696,0.00170696,0.00170696
76,384.577,0.33287,0.43259,0.12323,0.78093,0.81052,0.83756,0.61035,0.31534,0.45836,0.21936,0.001703,0.001703,0.001703
77,389.822,0.32672,0.43193,0.13476,0.84035,0.75497,0.83923,0.61727,0.32382,0.46022,0.22982,0.00169904,0.00169904,0.00169904
78,395.303,0.3075,0.41251,0.1316,0.77283,0.75851,0.8224,0.60606,0.30633,0.48843,0.21943,0.00169508,0.00169508,0.00169508
79,400.094,0.30816,0.41069,0.12183,0.7717,0.76112,0.80229,0.58624,0.32317,0.44086,0.22492,0.00169112,0.00169112,0.00169112
80,404.861,0.29725,0.41069,0.12639,0.81427,0.7936,0.82196,0.59641,0.3164,0.40756,0.2301,0.00168716,0.00168716,0.00168716
81,409.612,0.32708,0.41554,0.13041,0.83782,0.74123,0.80775,0.58205,0.32073,0.46169,0.22575,0.0016832,0.0016832,0.0016832
82,414.764,0.31233,0.4088,0.13131,0.76723,0.77042,0.80772,0.5878,0.33613,0.50024,0.23403,0.00167924,0.00167924,0.00167924
83,419.542,0.30989,0.44587,0.14279,0.80071,0.76278,0.80952,0.6038,0.29306,0.4452,0.197,0.00167528,0.00167528,0.00167528
84,424.294,0.30606,0.40045,0.12103,0.79525,0.7631,0.82306,0.61229,0.27723,0.46473,0.18625,0.00167132,0.00167132,0.00167132
85,429.084,0.33196,0.47208,0.1369,0.79419,0.75276,0.82029,0.60427,0.28569,0.48393,0.20395,0.00166736,0.00166736,0.00166736
