epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
68,426.45,0.36598,0.427,0.10628,0.78876,0.71744,0.77875,0.52421,0.38783,0.45866,0.2835,0.00173468,0.00173468,0.00173468
69,432.448,0.39703,0.42751,0.12014,0.82337,0.7351,0.81761,0.58458,0.30683,0.45766,0.20526,0.00173072,0.00173072,0.00173072
70,438.472,0.39625,0.44123,0.11741,0.8168,0.77483,0.83623,0.60757,0.30145,0.48545,0.21707,0.00172676,0.00172676,0.00172676
71,444.661,0.36195,0.42221,0.11208,0.8408,0.7578,0.84365,0.60232,0.30903,0.4353,0.22588,0.0017228,0.0017228,0.0017228
72,450.685,0.38776,0.40604,0.11863,0.80229,0.83664,0.85331,0.61735,0.29337,0.41913,0.19694,0.00171884,0.00171884,0.00171884
73,456.654,0.37274,0.41116,0.12981,0.803,0.77263,0.82698,0.60962,0.30691,0.47459,0.2429,0.00171488,0.00171488,0.00171488
74,462.866,0.35783,0.42082,0.10866,0.82343,0.7638,0.84946,0.60569,0.31892,0.48149,0.24936,0.00171092,0.00171092,0.00171092
75,468.888,0.37698,0.44239,0.11592,0.78087,0.73068,0.81365,0.59159,0.30215,0.46678,0.21849,0.00170696,0.00170696,0.00170696
76,474.909,0.37877,0.44262,0.12698,0.81137,0.75963,0.83603,0.61363,0.2771,0.47725,0.19775,0.001703,0.001703,0.001703
77,480.889,0.33884,0.42504,0.11244,0.82429,0.74614,0.82944,0.60679,0.2846,0.501,0.19384,0.00169904,0.00169904,0.00169904
78,487.118,0.35401,0.4126,0.11457,0.83481,0.766,0.83484,0.6084,0.30082,0.43232,0.21641,0.00169508,0.00169508,0.00169508
79,493.133,0.35777,0.41852,0.11459,0.7517,0.80865,0.84605,0.61193,0.30235,0.42616,0.20979,0.00169112,0.00169112,0.00169112
80,499.167,0.34272,0.40478,0.09044,0.82748,0.75717,0.85512,0.61905,0.28276,0.41787,0.204,0.00168716,0.00168716,0.00168716
81,505.342,0.34085,0.39507,0.10767,0.79313,0.75497,0.81913,0.58087,0.29832,0.5111,0.20863,0.0016832,0.0016832,0.0016832
82,511.658,0.32302,0.39702,0.10475,0.8199,0.75938,0.84083,0.60393,0.30907,0.46146,0.21348,0.00167924,0.00167924,0.00167924
83,517.68,0.34827,0.39777,0.11985,0.85946,0.74614,0.8352,0.6111,0.33202,0.42558,0.24984,0.00167528,0.00167528,0.00167528
84,523.699,0.35529,0.41009,0.11063,0.73601,0.80012,0.81308,0.59143,0.32215,0.49251,0.24614,0.00167132,0.00167132,0.00167132
85,529.857,0.36225,0.41444,0.11649,0.74387,0.8014,0.80932,0.60251,0.29166,0.42107,0.19633,0.00166736,0.00166736,0.00166736
86,535.862,0.33957,0.41579,0.10494,0.78112,0.77206,0.82179,0.61228,0.31051,0.43602,0.20987,0.0016634,0.0016634,0.0016634
87,541.896,0.33678,0.40463,0.10787,0.81791,0.78335,0.84558,0.61461,0.29643,0.41973,0.20363,0.00165944,0.00165944,0.00165944
88,548.171,0.35012,0.40778,0.11524,0.78156,0.76611,0.82785,0.61474,0.30404,0.43562,0.22281,0.00165548,0.00165548,0.00165548
