epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,4913.09,1.31087,2.48114,1.10852,1.25994,0.77289,0.72185,0.79593,0.50814,0.74625,0.67991,0.74438,0.38948,1.08786,2.811,1.20691,1.241,0.001703,0.001703,0.001703
47,5021.46,1.30627,2.44123,1.02285,1.22205,0.75069,0.68653,0.75832,0.46604,0.73379,0.67108,0.71822,0.38727,1.09313,2.59301,1.35416,1.21864,0.0016964,0.0016964,0.0016964
48,5126.53,1.30142,2.43872,1.10635,1.26268,0.69164,0.72783,0.76292,0.48036,0.73387,0.63797,0.72908,0.37777,1.13229,2.68006,1.22285,1.28182,0.0016898,0.0016898,0.0016898
49,5234.05,1.28785,2.4041,1.08085,1.27244,0.77761,0.78587,0.82501,0.53498,0.75795,0.766,0.80357,0.4725,1.10135,2.24452,1.01199,1.21952,0.0016832,0.0016832,0.0016832
50,5337.3,1.27955,2.4554,1.1333,1.2882,0.77878,0.74614,0.79941,0.50901,0.79337,0.73289,0.79858,0.4409,1.05241,2.30561,1.08725,1.18436,0.0016766,0.0016766,0.0016766
51,5443.15,1.29876,2.42246,1.09327,1.25055,0.76113,0.71043,0.77231,0.5109,0.79951,0.70426,0.78767,0.45543,1.06102,2.48055,1.05382,1.19608,0.00167,0.00167,0.00167
52,5551.92,1.33001,2.4661,1.11463,1.28152,0.77542,0.69361,0.78679,0.49667,0.77568,0.69463,0.78588,0.44433,1.11728,2.55943,1.06623,1.24689,0.0016634,0.0016634,0.0016634
53,5658.84,1.32246,2.51053,1.23706,1.27443,0.73623,0.67108,0.74487,0.48055,0.73138,0.66667,0.73127,0.40893,1.15823,2.54625,1.25945,1.28448,0.0016568,0.0016568,0.0016568
54,5763.5,1.28533,2.46774,1.13557,1.27379,0.74572,0.70861,0.75295,0.46707,0.72701,0.70546,0.74556,0.43703,1.17134,2.31487,1.21968,1.28435,0.0016502,0.0016502,0.0016502
55,5866.69,1.29331,2.37858,1.08557,1.2526,0.74969,0.69095,0.77738,0.47173,0.74027,0.66064,0.74292,0.41109,1.17307,2.42589,1.11159,1.27067,0.0016436,0.0016436,0.0016436
56,5971.71,1.28562,2.44462,1.08755,1.26996,0.707,0.72444,0.75884,0.46878,0.68929,0.69978,0.7188,0.39737,1.16082,2.66855,1.21574,1.26027,0.001637,0.001637,0.001637
57,6075.65,1.24549,2.35617,1.05699,1.23489,0.78428,0.68433,0.77741,0.50212,0.77705,0.6777,0.74239,0.41082,1.08502,2.5239,1.03905,1.2149,0.0016304,0.0016304,0.0016304
58,6179.41,1.25467,2.3847,1.10782,1.27011,0.76005,0.75938,0.80558,0.51658,0.7532,0.73434,0.79398,0.4441,1.14761,2.33389,0.99224,1.23724,0.0016238,0.0016238,0.0016238
59,6285.34,1.26492,2.40262,1.04722,1.2562,0.79509,0.73664,0.81943,0.54227,0.81966,0.74834,0.82693,0.47723,0.98883,2.24189,1.05419,1.20165,0.0016172,0.0016172,0.0016172
60,6391.23,1.2857,2.34294,1.02912,1.26205,0.75552,0.73289,0.79254,0.51943,0.783,0.70891,0.776,0.42557,1.03321,2.29284,1.13067,1.26533,0.0016106,0.0016106,0.0016106
61,6495.81,1.24669,2.3164,1.0431,1.27513,0.70073,0.77042,0.79487,0.51399,0.81118,0.66385,0.78056,0.46546,1.05868,2.03838,1.01139,1.23462,0.001604,0.001604,0.001604
62,6601.66,1.24813,2.28273,0.99785,1.2182,0.77842,0.72406,0.80031,0.52478,0.75726,0.73289,0.77246,0.44461,1.01866,2.34612,0.95758,1.20181,0.0015974,0.0015974,0.0015974
63,6707.4,1.2231,2.26164,0.96925,1.21493,0.72476,0.70199,0.7612,0.50875,0.71401,0.71095,0.75407,0.44998,1.04611,2.25821,1.07596,1.2182,0.0015908,0.0015908,0.0015908
64,6814.24,1.24477,2.32178,1.02272,1.24441,0.77886,0.75276,0.81851,0.52725,0.79031,0.75055,0.8147,0.49018,1.0731,2.12191,1.04786,1.23961,0.0015842,0.0015842,0.0015842
65,6917.1,1.20719,2.21502,1.00252,1.22863,0.78395,0.7638,0.8282,0.53879,0.77519,0.74834,0.80635,0.48992,1.11138,2.24788,0.94277,1.27647,0.0015776,0.0015776,0.0015776
66,7024.43,1.28914,2.41836,1.06536,1.26021,0.72699,0.71523,0.77716,0.49727,0.71128,0.69978,0.76373,0.45166,1.19742,2.25648,1.13251,1.29773,0.001571,0.001571,0.001571
67,7133.69,1.30127,2.41289,1.0266,1.25193,0.7567,0.72406,0.7967,0.51589,0.73859,0.73951,0.77579,0.46327,1.02252,2.23291,1.07295,1.22723,0.0015644,0.0015644,0.0015644
68,7238.98,1.24913,2.28358,1.03649,1.22748,0.79789,0.72335,0.82015,0.51886,0.78067,0.73068,0.79512,0.4789,1.07206,2.16478,1.01836,1.20808,0.0015578,0.0015578,0.0015578
69,7344.54,1.25417,2.38992,1.0773,1.25975,0.84094,0.68212,0.81612,0.53335,0.85665,0.68598,0.81615,0.48352,0.98283,2.1867,1.01342,1.16296,0.0015512,0.0015512,0.0015512
70,7457.64,1.2244,2.25335,1.03537,1.18765,0.80408,0.68854,0.78647,0.49364,0.7564,0.69316,0.77847,0.46118,1.10155,2.1754,1.09347,1.20686,0.0015446,0.0015446,0.0015446
71,7559.78,1.22619,2.27008,1.03704,1.2369,0.78077,0.7064,0.79751,0.5078,0.81777,0.68353,0.79207,0.47437,1.13749,2.23086,1.03829,1.2602,0.001538,0.001538,0.001538
72,7662.66,1.24594,2.25006,1.04746,1.24441,0.84515,0.66265,0.7944,0.50425,0.79734,0.66877,0.7647,0.45782,1.06633,2.09605,0.98987,1.22268,0.0015314,0.0015314,0.0015314
