epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
98,663.08,0.38118,0.51316,0.17465,0.7552,0.78317,0.82361,0.58716,0.29547,0.51347,0.2184,0.00161588,0.00161588,0.00161588
99,669.639,0.42226,0.52173,0.1877,0.74546,0.76286,0.81225,0.5879,0.29372,0.52079,0.20726,0.00161192,0.00161192,0.00161192
100,676.265,0.41542,0.494,0.19062,0.77886,0.77042,0.81367,0.58603,0.30268,0.49145,0.21799,0.00160796,0.00160796,0.00160796
101,683.045,0.38161,0.54495,0.1699,0.82724,0.75276,0.82786,0.57107,0.32008,0.48452,0.21861,0.001604,0.001604,0.001604
102,689.925,0.40593,0.58698,0.17265,0.76465,0.72848,0.79336,0.55787,0.30668,0.54739,0.21359,0.00160004,0.00160004,0.00160004
103,696.496,0.42418,0.50994,0.1859,0.70445,0.72627,0.76813,0.51944,0.33563,0.55407,0.23641,0.00159608,0.00159608,0.00159608
104,703.098,0.40648,0.57929,0.19548,0.82209,0.69316,0.79745,0.53534,0.31963,0.60295,0.21561,0.00159212,0.00159212,0.00159212
105,709.869,0.45212,0.56847,0.20355,0.76976,0.71744,0.79087,0.54207,0.33178,0.64865,0.25265,0.00158816,0.00158816,0.00158816
106,716.392,0.40589,0.64381,0.17843,0.80903,0.70861,0.80225,0.55615,0.32366,0.52438,0.2303,0.0015842,0.0015842,0.0015842
107,722.959,0.41598,0.63986,0.18753,0.71295,0.68534,0.76907,0.53897,0.34209,0.54935,0.24199,0.00158024,0.00158024,0.00158024
108,729.611,0.47664,0.59484,0.20776,0.79461,0.7064,0.77391,0.54189,0.3346,0.61386,0.25285,0.00157628,0.00157628,0.00157628
109,736.363,0.42428,0.64915,0.18044,0.70914,0.72848,0.75291,0.52593,0.29173,0.57414,0.20547,0.00157232,0.00157232,0.00157232
110,742.94,0.4136,0.54416,0.1983,0.72812,0.62472,0.71637,0.48433,0.34124,0.56406,0.23549,0.00156836,0.00156836,0.00156836
111,749.508,0.43167,0.55679,0.20411,0.74596,0.75842,0.78068,0.54368,0.31203,0.50403,0.21793,0.0015644,0.0015644,0.0015644
112,756.277,0.44835,0.53014,0.17862,0.74167,0.68212,0.74823,0.53364,0.30637,0.50133,0.20986,0.00156044,0.00156044,0.00156044
113,762.844,0.40225,0.51477,0.19803,0.78435,0.73951,0.81385,0.57938,0.29393,0.48476,0.19604,0.00155648,0.00155648,0.00155648
114,769.34,0.38043,0.52369,0.16062,0.79474,0.77781,0.82468,0.59624,0.27693,0.47025,0.18426,0.00155252,0.00155252,0.00155252
115,776.396,0.3814,0.52176,0.18278,0.80445,0.76284,0.81875,0.57253,0.30802,0.46036,0.20646,0.00154856,0.00154856,0.00154856
116,783.095,0.40749,0.49878,0.1998,0.79713,0.798,0.81976,0.57713,0.29126,0.50062,0.19913,0.0015446,0.0015446,0.0015446
117,789.571,0.36008,0.51939,0.16453,0.80101,0.74834,0.8175,0.59266,0.32339,0.478,0.2459,0.00154064,0.00154064,0.00154064
118,796.081,0.37919,0.46928,0.16955,0.75351,0.77607,0.81274,0.58154,0.33443,0.50134,0.23613,0.00153668,0.00153668,0.00153668
119,802.798,0.42197,0.48687,0.19911,0.80695,0.74393,0.82477,0.58132,0.30624,0.46006,0.21638,0.00153272,0.00153272,0.00153272
120,809.351,0.39734,0.51231,0.17983,0.75282,0.73731,0.7905,0.56339,0.31717,0.4804,0.22037,0.00152876,0.00152876,0.00152876
121,815.818,0.40368,0.50819,0.1962,0.78071,0.77018,0.81106,0.59693,0.29144,0.48097,0.19636,0.0015248,0.0015248,0.0015248
122,823.095,0.38509,0.54089,0.19099,0.8165,0.73951,0.82616,0.61099,0.2705,0.46611,0.16996,0.00152084,0.00152084,0.00152084
123,830.293,0.42565,0.48888,0.18668,0.77643,0.73596,0.79281,0.54967,0.33478,0.43062,0.24414,0.00151688,0.00151688,0.00151688
124,836.839,0.43837,0.50626,0.21785,0.80051,0.72636,0.80487,0.55995,0.33149,0.49022,0.24579,0.00151292,0.00151292,0.00151292
125,843.316,0.37745,0.49938,0.16747,0.78713,0.75914,0.79978,0.58087,0.30474,0.47389,0.20958,0.00150896,0.00150896,0.00150896
126,849.992,0.41594,0.49934,0.18349,0.79418,0.75717,0.8043,0.57754,0.31361,0.47928,0.22386,0.001505,0.001505,0.001505
127,856.486,0.42447,0.49171,0.18868,0.78875,0.71523,0.79727,0.58312,0.30782,0.48437,0.22625,0.00150104,0.00150104,0.00150104
128,863.026,0.37764,0.49683,0.19028,0.75898,0.69095,0.74638,0.53269,nan,nan,nan,0.00149708,0.00149708,0.00149708
129,869.539,0.36991,0.47944,0.17495,0.71559,0.72627,0.72399,0.50426,nan,nan,nan,0.00149312,0.00149312,0.00149312
130,876.197,0.42093,0.48324,0.18754,0.74535,0.6468,0.66676,0.466,nan,nan,nan,0.00148916,0.00148916,0.00148916
131,882.686,0.35898,0.46385,0.16409,0.78616,0.73041,0.76421,0.56238,nan,nan,nan,0.0014852,0.0014852,0.0014852
132,889.237,0.36564,0.48869,0.17326,0.78543,0.7919,0.83984,0.61236,0.30248,0.46042,0.22118,0.00148124,0.00148124,0.00148124
133,896.424,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00147728,0.00147728,0.00147728
134,901.772,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00147332,0.00147332,0.00147332
